S.No,Date,Festivity,Area,Description(If needed),Duration,Interest groups, Regional/Religion-based/Lunar/Solar calendars,If spend/not,Total spend happened(Reserach),
1,01-01-2024,New Year's Day Global,Global,NA,,global,Gregorian solar calender,Yes,50000,
2,02-01-2024,Mannam jayanthi,Kerala,(Birthday of mannam),,"Kerela residents, Hindu",Hindu solar calender,Yes,30000,
3,03-01-2024,savitribai phule jayanti,Maharastra,NA,,Maharastra residents,Gregorian solar calender,Yes,40000,
4,04-01-2024,world braille day,Global,NA,,Global,Gregorian solar calender,Yes,25000,
5,05-01-2024,Guru gobind singh Jayanthi,Punjab,(Sikh Community),,Sikh Religious,Sikh nanakshahi calender,yes,50000,
6,06-01-2024,Epiphany,Kerala(Christian community),(Christian community),,Kerala (Christian community),Christian calender,Yes,35000,
7,07-01-2024,NA,NA,NA,NA,NA,NA,NA,NA,
8,08-01-2024,NA,NA,NA,NA,NA,NA,NA,NA,
9,09-01-2024,Pravsi Bharatiya Divas,India,(Return of gandhi to india),1 day,National,Gregorian solar calender,Yes,45000,
10,10-01-2024,NA,NA,NA,NA,NA,NA,NA,NA,
11,11-01-2024,Dealth Anniversary of Lal bahadur shashtri,India,NA,1 day,"Historical, Political",Gregorian solar calender,Yes,30000,
12,12-01-2024,National youth day,India,Birthday of swami vivekananda,1 day,"Social, Educational",Hindu Lunar(Pausha),Yes,40000,
13,13-01-2024,Lohri,North India,NA,1 day,Sikh/Hindu,Solar calender,Yes,45000,
14,14-01-2024,"Makar sankranti, pongal",India,NA,1 day,Hindu,Hindu solar calender,Yes,70000,
15,15-01-2024,Pongal,South india,NA,1 day,Hindu,Hindu solar calender,Yes,60000,
16,16-01-2024,Kaanum pongal,TamilNadu,NA,1 day,Hindu,Hindu solar calender,Yes,35000,
17,17-01-2024,NA,NA,NA,NA,NA ,NA ,NA ,NA,
18,18-01-2024,NA,NA,NA,NA,NA ,NA ,NA ,NA,
19,19-01-2024,NA,NA,NA,NA,NA ,NA ,NA ,NA,
20,20-01-2024,NA,NA,NA,NA,NA ,NA ,NA ,NA,
21,21-01-2024,Meghalaya Day,Meghalaya,NA,1 day,Meghalayans ,Gregorian solar calender,Yes,50000,
22,22-01-2024,NA,NA,NA,NA,NA,NA,NA,NA,
23,23-01-2024,Netaji subhas chandra bose jayanthi,India,NA,1 day,National,Gregorian solar calender,Yes,45000,
